date,country,SiteName,Technology,updatedby,updatetime,Volume
2024-01-01,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,6753.0
2024-01-02,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,3896.0
2024-01-03,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,3636.0
2024-01-04,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,5138.0
2024-01-05,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,5265.0
2024-01-06,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,5052.0
2024-01-07,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,6136.0
2024-01-08,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,5554.0
2024-01-09,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,3533.0
2024-01-10,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,5835.0
2024-01-11,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,4914.0
2024-01-12,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,6393.0
2024-01-13,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,6360.0
2024-01-14,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,5534.0
2024-01-15,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,4809.0
2024-01-16,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,6890.0
2024-01-17,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,4912.0
2024-01-18,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,3295.0
2024-01-19,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,4808.0
2024-01-20,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,5244.0
2024-01-21,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,5270.0
2024-01-22,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,4784.0
2024-01-23,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,6627.0
2024-01-24,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,4324.0
2024-01-25,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,4405.0
2024-01-26,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,5643.0
2024-01-27,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,4705.0
2024-01-28,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,5810.0
2024-01-29,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,6190.0
2024-01-30,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,6101.0
2024-01-31,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,3347.0
2024-02-01,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,3648.0
2024-02-02,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,6059.0
2024-02-03,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,4576.0
2024-02-04,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,4906.0
2024-02-05,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,3632.0
2024-02-06,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,4285.0
2024-02-07,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,3934.0
2024-02-08,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,6413.0
2024-02-09,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,6350.0
2024-02-10,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,3818.0
2024-02-11,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,6417.0
2024-02-12,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,6895.0
2024-02-13,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,4590.0
2024-02-14,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,3720.0
2024-02-15,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,4506.0
2024-02-16,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,5881.0
2024-02-17,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,5635.0
2024-02-18,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,4108.0
2024-02-19,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,3851.0
2024-02-20,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,6155.0
2024-02-21,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,5208.0
2024-02-22,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,3489.0
2024-02-23,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,4284.0
2024-02-24,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,5529.0
2024-02-25,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,6495.0
2024-02-26,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,3556.0
2024-02-27,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,5703.0
2024-02-28,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,3866.0
2024-02-29,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,4298.0
2024-03-01,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,5206.0
2024-03-02,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,3541.0
2024-03-03,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,5206.0
2024-03-04,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,4498.0
2024-03-05,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,6179.0
2024-03-06,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,4342.0
2024-03-07,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,5712.0
2024-03-08,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,4607.0
2024-03-09,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,4094.0
2024-03-10,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,5183.0
2024-03-11,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,3666.0
2024-03-12,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,3707.0
2024-03-13,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,6135.0
2024-03-14,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,3361.0
2024-03-15,France,Blenod-5,Gas,petroineos,2026-06-05 00:53:47.997315,5791.0
