log_time,logged_by,file_name,check_name,issue_count,issue_description,action_taken
2026-06-05 00:53:47.988142,petroineos,gas_fr_plants.csv,column_whitespace,1,One or more column names contained leading/trailing whitespace.,Stripped whitespace from column names.
2026-06-05 00:53:47.989742,petroineos,gas_fr_plants.csv,fully_empty_rows,481,Rows found where all columns were missing.,Removed fully empty rows.
2026-06-05 00:53:47.992469,petroineos,gas_fr_plants.csv,missing_volume_values,6,Missing Volume values found.,Filled missing Volume values with 0.
2026-06-05 00:53:47.994796,petroineos,gas_fr_plants.csv,country_code_mapping,481,Country codes found instead of full country names.,Mapped country codes to full country names.
2026-06-05 00:53:48.000126,petroineos,gas_plants.csv,column_whitespace,1,One or more column names contained leading/trailing whitespace.,Stripped whitespace from column names.
2026-06-05 00:53:48.003421,petroineos,gas_plants.csv,invalid_volume_values,1,Non-numeric Volume values found: ['naa'],"Converted invalid Volume values to NaN, then filled with 0."
2026-06-05 00:53:48.004448,petroineos,gas_plants.csv,missing_volume_values,3,Missing Volume values found.,Filled missing Volume values with 0.
2026-06-05 00:53:48.005702,petroineos,gas_plants.csv,country_code_mapping,962,Country codes found instead of full country names.,Mapped country codes to full country names.
2026-06-05 00:53:48.014633,petroineos,wind_plants.csv,column_whitespace,1,One or more column names contained leading/trailing whitespace.,Stripped whitespace from column names.
2026-06-05 00:53:48.016236,petroineos,wind_plants.csv,Technology_value_whitespace,957,Values in Technology contained leading/trailing whitespace.,Stripped whitespace from Technology values.
2026-06-05 00:53:48.018551,petroineos,wind_plants.csv,negative_volume_values,4,Negative Volume values found.,Replaced negative Volume values with 0.
2026-06-05 00:53:48.019867,petroineos,wind_plants.csv,country_code_mapping,957,Country codes found instead of full country names.,Mapped country codes to full country names.
2026-06-05 00:53:48.021722,petroineos,wind_plants.csv,missing_date_sequence,5,"Missing daily records for Hornsea-2: ['2024-07-10', '2024-07-11', '2024-07-12', '2024-07-13', '2024-07-14']",Logged only. Missing date rows were not created because actual Volume is unknown.
2026-06-05 00:53:48.023519,petroineos,wind_plants.csv,possible_volume_outliers,3,"Volume values found above outlier threshold: 2205.8336328. Outlier rows: [{'Date': Timestamp('2024-07-13 00:00:00'), 'Country': 'Great Britain', 'Technology': 'Wind', 'SiteName': 'Hornsea-1', 'Volume': 15324.72}, {'Date': Timestamp('2024-07-14 00:00:00'), 'Country': 'Great Britain', 'Technology': 'Wind', 'SiteName': 'Hornsea-1', 'Volume': 17342.61}, {'Date': Timestamp('2024-07-15 00:00:00'), 'Country': 'Great Britain', 'Technology': 'Wind', 'SiteName': 'Hornsea-1', 'Volume': 123731.6}]",Removed outlier rows from cleaned data before saving to database.
